 |                         fit_name |       quality |   chisq/nDoF                 |
 |      c2__24,13_24,24__32,6_32,25 |        9.1951 |   22.72/(  27 -  5) =   1.03 | F=1.21(129)*10^-2; dmf=7.956(8808); Ff=1.08(1197)*10^1; dmi=1.214(1478); Fi=2.76(2935)*10^1
 |       c__24,12_24,23__32,2_32,13 |        9.1918 |   18.58/(  20 -  1) =   0.98 | F=-1.11(1181)*10^-3
 |       c__24,12_24,24__32,6_32,23 |        9.1725 |   26.78/(  26 -  1) =   1.07 | F=-1.44(1052)*10^-3
 |    csrc__24,13_24,24__32,6_32,25 |        9.1569 |   25.45/(  27 -  3) =   1.06 | F=1.24(119)*10^-2; dmi=1.260(1036); Fi=4.54(3129)*10^1
 |       c__24,13_24,24__32,7_32,21 |        9.1285 |   21.40/(  22 -  1) =   1.02 | F=7.18(1166)*10^-3
 |       c__24,12_24,24__32,3_32,11 |        9.1136 |   15.83/(  18 -  1) =   0.93 | F=2.79(1380)*10^-3
 |       c__24,13_24,24__32,7_32,18 |        9.1023 |   18.66/(  20 -  1) =   0.98 | F=5.64(1197)*10^-3
 |      c__24,12_24,23__32,11_32,17 |        9.0945 |   11.46/(  15 -  1) =   0.82 | F=3.18(183)*10^-2
 |       c__24,12_24,24__32,8_32,22 |        9.0789 |   22.81/(  23 -  1) =   1.04 | F=2.44(1087)*10^-3
 |       c__24,12_24,24__32,8_32,12 |         9.057 |    9.97/(  14 -  1) =   0.77 | F=1.45(143)*10^-2
 |       c__24,12_24,23__32,4_32,25 |        9.0389 |   30.87/(  29 -  1) =   1.10 | F=3.32(837)*10^-3
 |      c__24,12_24,23__32,12_32,18 |        9.0363 |   11.51/(  15 -  1) =   0.82 | F=3.07(178)*10^-2
 |       c__24,13_24,24__32,1_32,12 |         9.025 |   18.72/(  20 -  1) =   0.99 | F=-4.54(1106)*10^-3
 |       c__24,13_24,24__32,8_32,25 |        9.0232 |   25.56/(  25 -  1) =   1.06 | F=1.46(115)*10^-2
 |      c__24,13_24,24__32,11_32,17 |        9.0218 |   11.52/(  15 -  1) =   0.82 | F=3.11(182)*10^-2
 |       c__24,12_24,24__32,7_32,21 |         9.008 |   22.86/(  23 -  1) =   1.04 | F=2.49(1099)*10^-3
 |      c__24,12_24,24__32,12_32,21 |        9.0029 |   15.92/(  18 -  1) =   0.94 | F=2.42(162)*10^-2
 |      c2__24,12_24,23__32,1_32,25 |        8.9962 |   29.58/(  32 -  5) =   1.10 | F=1.50(100)*10^-2; dmf=0.343(131); Ff=-7.02(226)*10^-2; dmi=0.423(239); Fi=-4.07(123)*10^-2
 |      c__24,12_24,24__32,11_32,21 |        8.9857 |   17.35/(  19 -  1) =   0.96 | F=2.10(160)*10^-2
 |      c__24,12_24,23__32,15_32,23 |        8.9849 |   13.04/(  16 -  1) =   0.87 | F=1.74(177)*10^-2
 |     c2__24,13_24,24__32,12_32,25 |        8.9606 |   14.52/(  21 -  5) =   0.91 | F=1.42(200)*10^-2; dmf=1.31(140)*10^1; Ff=1.99(3274)*10^3; dmi=0.993(863); Fi=2.77(3046)*10^3
 |       c__24,13_24,24__32,2_32,13 |        8.9384 |   18.79/(  20 -  1) =   0.99 | F=-2.87(1202)*10^-3
 |      c__24,12_24,24__32,16_32,25 |        8.9371 |   15.97/(  18 -  1) =   0.94 | F=2.00(169)*10^-2
 |      c__24,12_24,24__32,21_32,25 |        8.9358 |   10.08/(  14 -  1) =   0.78 | F=3.56(190)*10^-2
 |       c__24,13_24,24__32,8_32,22 |        8.9278 |   21.56/(  22 -  1) =   1.03 | F=8.19(1203)*10^-3
 |      c__24,12_24,24__32,11_32,15 |         8.911 |   10.10/(  14 -  1) =   0.78 | F=2.90(204)*10^-2
 |      c__24,12_24,24__32,20_32,24 |        8.9036 |   10.11/(  14 -  1) =   0.78 | F=3.59(190)*10^-2
