 |           fit_name |       quality |   chisq/nDoF                 |
 |     c__24,10_24,19 |       0.74259 | 1107.55/(   8 -  1) = 158.22 | F=0.823(2)
 |      c__24,0_24,19 |       0.72066 | 8621.53/(  18 -  1) = 507.15 | F=0.916(2)
 |     c__24,12_24,19 |       0.70997 |  563.36/(   6 -  1) = 112.67 | F=0.804(2)
 |      c__24,8_24,20 |       0.70978 | 2589.73/(  11 -  1) = 258.97 | F=0.819(2)
 |      c__24,2_24,20 |       0.70816 | 7548.28/(  17 -  1) = 471.77 | F=0.866(2)
 |   csnk__24,5_24,14 |       0.70289 |  392.97/(   8 -  3) =  78.59 | F=0.940(3); dmf=2.153(1841); Ff=0.979(2000)
 |      c__24,9_24,20 |       0.67652 | 2163.52/(  10 -  1) = 240.39 | F=0.811(2)
 |      c__24,9_24,20 |       0.67652 | 2163.52/(  10 -  1) = 240.39 | F=0.811(2)
 |      c__24,4_24,21 |       0.66048 | 7077.20/(  16 -  1) = 471.81 | F=0.821(2)
 |      c__24,1_24,20 |       0.65333 | 9475.23/(  18 -  1) = 557.37 | F=0.879(2)
 |     c__24,11_24,20 |       0.64665 | 1312.14/(   8 -  1) = 187.45 | F=0.793(2)
 |      c__24,5_24,21 |       0.64598 | 6191.05/(  15 -  1) = 442.22 | F=0.813(2)
 |     c__24,10_24,20 |       0.63481 | 1762.44/(   9 -  1) = 220.31 | F=0.800(2)
 |      c__24,3_24,21 |       0.62097 | 8656.99/(  17 -  1) = 541.06 | F=0.829(2)
 |      c__24,0_24,20 |        0.6202 | 11358.38/(  19 -  1) = 631.02 | F=0.888(2)
 |      c__24,6_24,21 |       0.61881 | 5503.82/(  14 -  1) = 423.37 | F=0.807(2)
 |     c__24,13_24,19 |       0.59289 |  406.48/(   5 -  1) = 101.62 | F=0.791(3)
 |      c__24,7_24,21 |       0.58218 | 4907.71/(  13 -  1) = 408.98 | F=0.800(2)
 |      c__24,2_24,21 |       0.57268 | 10671.73/(  18 -  1) = 627.75 | F=0.835(2)
 |     c__24,12_24,20 |       0.56509 | 1055.95/(   7 -  1) = 175.99 | F=0.782(2)
 |      c__24,1_24,21 |       0.55232 | 12734.59/(  19 -  1) = 707.48 | F=0.847(2)
 |      c__24,8_24,21 |       0.51868 | 4395.89/(  12 -  1) = 399.63 | F=0.788(2)
 |      c__24,0_24,21 |       0.50851 | 15539.33/(  20 -  1) = 817.86 | F=0.854(2)
 |     c__24,13_24,20 |       0.50126 |  781.83/(   6 -  1) = 156.37 | F=0.768(2)
 |      c__24,9_24,21 |       0.48222 | 3842.99/(  11 -  1) = 384.30 | F=0.781(2)
 |      c__24,4_24,22 |       0.47976 | 11250.37/(  17 -  1) = 703.15 | F=0.783(2)
 |      c__24,3_24,22 |       0.46535 | 13207.16/(  18 -  1) = 776.89 | F=0.789(2)
 |      c__24,5_24,22 |       0.46348 | 10070.96/(  16 -  1) = 671.40 | F=0.775(2)
 |      c__24,1_24,22 |       0.46107 | 17285.18/(  20 -  1) = 909.75 | F=0.808(2)
 |      c__24,2_24,22 |       0.45722 | 15197.55/(  19 -  1) = 844.31 | F=0.795(2)
 |     c__24,10_24,21 |       0.45514 | 3206.27/(  10 -  1) = 356.25 | F=0.770(2)
 |     c__24,14_24,20 |       0.44598 |  535.33/(   5 -  1) = 133.83 | F=0.754(3)
 |     c__24,11_24,21 |       0.44377 | 2578.65/(   9 -  1) = 322.33 | F=0.763(2)
 |     c__24,11_24,21 |       0.44377 | 2578.65/(   9 -  1) = 322.33 | F=0.763(2)
 |      c__24,0_24,22 |       0.44355 | 20095.50/(  21 -  1) = 1004.77 | F=0.815(2)
 |      c__24,6_24,22 |       0.43219 | 9284.73/(  15 -  1) = 663.19 | F=0.769(2)
 |      c__24,7_24,22 |       0.41069 | 8325.36/(  14 -  1) = 640.41 | F=0.762(2)
 |     c__24,12_24,21 |       0.40395 | 2093.20/(   8 -  1) = 299.03 | F=0.752(2)
 |     c__24,12_24,21 |       0.40395 | 2093.20/(   8 -  1) = 299.03 | F=0.752(2)
 |     c__24,13_24,21 |       0.39754 | 1507.34/(   7 -  1) = 251.22 | F=0.738(2)
 |      c__24,8_24,22 |       0.38315 | 7287.82/(  13 -  1) = 607.32 | F=0.749(2)
 |      c__24,0_24,23 |       0.38241 | 26005.15/(  22 -  1) = 1238.34 | F=0.773(1)
 |     c__24,15_24,21 |       0.37815 |  646.20/(   5 -  1) = 161.55 | F=0.707(2)
 |      c__24,1_24,23 |       0.37812 | 23545.80/(  21 -  1) = 1177.29 | F=0.765(1)
 |      c__24,4_24,23 |       0.37704 | 16359.33/(  18 -  1) = 962.31 | F=0.742(1)
 |      c__24,2_24,23 |       0.37196 | 21009.04/(  20 -  1) = 1105.74 | F=0.753(1)
 |      c__24,3_24,23 |       0.37194 | 18717.65/(  19 -  1) = 1039.87 | F=0.748(1)
 |     c__24,14_24,21 |       0.36725 | 1084.54/(   6 -  1) = 216.91 | F=0.724(2)
 |      c__24,5_24,23 |       0.35612 | 15077.98/(  17 -  1) = 942.37 | F=0.735(1)
 |      c__24,9_24,22 |       0.35482 | 6514.99/(  12 -  1) = 592.27 | F=0.742(2)
 |     c__24,10_24,22 |       0.34359 | 5447.72/(  11 -  1) = 544.77 | F=0.732(2)
 |     c__24,11_24,22 |       0.32802 | 4596.51/(  10 -  1) = 510.72 | F=0.726(2)
 |      c__24,6_24,23 |       0.32622 | 14251.40/(  16 -  1) = 950.09 | F=0.729(2)
 |      c__24,7_24,23 |       0.31437 | 12778.05/(  15 -  1) = 912.72 | F=0.723(2)
 |      c__24,1_24,24 |       0.30554 | 32024.61/(  22 -  1) = 1524.98 | F=0.721(1)
 |      c__24,0_24,24 |       0.30387 | 35651.67/(  23 -  1) = 1620.53 | F=0.727(1)
 |     c2__24,5_24,16 |       0.29963 |    3.84/(  10 -  5) =   0.77 | F=1.50(4567)*10^-2; dmf=2.784(1904); Ff=1.34(20)*10^1; dmi=2.26(113)*10^-2; Fi=1.158(443)
 |     c__24,12_24,22 |       0.29546 | 3894.83/(   9 -  1) = 486.85 | F=0.714(2)
 |     c__24,12_24,22 |       0.29546 | 3894.83/(   9 -  1) = 486.85 | F=0.714(2)
 |      c__24,2_24,24 |       0.29363 | 29338.31/(  21 -  1) = 1466.92 | F=0.709(1)
 |      c__24,8_24,23 |        0.2934 | 11334.35/(  14 -  1) = 871.87 | F=0.709(2)
 |      c__24,3_24,24 |       0.28497 | 27051.51/(  20 -  1) = 1423.76 | F=0.704(1)
 |     c__24,14_24,22 |       0.28327 | 2156.17/(   7 -  1) = 359.36 | F=0.688(2)
 |     c__24,13_24,22 |       0.28303 | 3014.55/(   8 -  1) = 430.65 | F=0.701(2)
 |     c__24,13_24,22 |       0.28303 | 3014.55/(   8 -  1) = 430.65 | F=0.701(2)
 |      c__24,4_24,24 |       0.27378 | 25029.47/(  19 -  1) = 1390.53 | F=0.698(1)
 |     c__24,15_24,22 |        0.2715 | 1495.85/(   6 -  1) = 299.17 | F=0.673(2)
 |      c__24,9_24,23 |       0.26557 | 10488.90/(  13 -  1) = 874.07 | F=0.702(2)
 |     c__24,10_24,23 |       0.26389 | 8751.58/(  12 -  1) = 795.60 | F=0.694(2)
 |      c__24,5_24,24 |       0.26068 | 23095.05/(  18 -  1) = 1358.53 | F=0.690(1)
 |     c__24,16_24,22 |       0.26028 |  959.35/(   5 -  1) = 239.84 | F=0.657(2)
 |     c__24,11_24,23 |       0.24881 | 7638.55/(  11 -  1) = 763.85 | F=0.688(2)
 |      c__24,6_24,24 |       0.24541 | 21493.36/(  17 -  1) = 1343.34 | F=0.684(1)
 |     c__24,12_24,23 |       0.24227 | 6222.20/(  10 -  1) = 691.36 | F=0.678(2)
 |      c__24,7_24,24 |       0.23787 | 19385.82/(  16 -  1) = 1292.39 | F=0.680(1)
 |     c__24,13_24,23 |       0.22835 | 5056.57/(   9 -  1) = 632.07 | F=0.665(2)
 |      c__24,8_24,24 |       0.22519 | 17187.67/(  15 -  1) = 1227.69 | F=0.666(1)
 |     c__24,14_24,23 |       0.21979 | 3921.05/(   8 -  1) = 560.15 | F=0.653(2)
 |     c__24,14_24,23 |       0.21979 | 3921.05/(   8 -  1) = 560.15 | F=0.653(2)
 |     c__24,10_24,24 |       0.20613 | 13466.12/(  13 -  1) = 1122.18 | F=0.652(1)
 |      c__24,9_24,24 |       0.20516 | 16007.21/(  14 -  1) = 1231.32 | F=0.659(1)
 |     c__24,15_24,23 |       0.19463 | 3089.31/(   7 -  1) = 514.88 | F=0.638(2)
 |     c__24,11_24,24 |       0.18564 | 12460.76/(  12 -  1) = 1132.80 | F=0.647(1)
 |     c__24,16_24,23 |       0.18384 | 2188.28/(   6 -  1) = 437.66 | F=0.622(2)
 |     c__24,12_24,24 |       0.17598 | 10644.65/(  11 -  1) = 1064.46 | F=0.637(1)
 |     c__24,13_24,24 |       0.15933 | 9209.47/(  10 -  1) = 1023.27 | F=0.624(2)
 |     c__24,17_24,23 |       0.15276 | 1608.97/(   5 -  1) = 402.24 | F=0.606(2)
 |     c__24,14_24,24 |        0.1519 | 7468.46/(   9 -  1) = 933.56 | F=0.613(2)
 |     c__24,15_24,24 |       0.14187 | 5871.55/(   8 -  1) = 838.79 | F=0.597(2)
 |     c__24,16_24,24 |       0.13309 | 4445.54/(   7 -  1) = 740.92 | F=0.582(2)
 |     c__24,17_24,24 |        0.1135 | 3450.91/(   6 -  1) = 690.18 | F=0.566(2)
 |     c__24,18_24,24 |        0.1053 | 2238.85/(   5 -  1) = 559.71 | F=0.543(2)
 |     c2__24,3_24,11 |       0.10437 |    2.68/(   7 -  5) =   1.34 | F=5.33(6)*10^-2; dmf=1.250(369534); Ff=3.427(1087314372); dmi=2.23(1)*10^-2; Fi=1.109(1)
 |     c2__24,3_24,17 |     0.0088543 |    5.03/(  13 -  5) =   0.63 | F=-1.93(7655)*10^-2; dmf=3.865(472); Ff=-6.56(2465)*10^11; dmi=2.19(172)*10^-2; Fi=1.193(750)
 |     c2__24,3_24,16 |    0.00067955 |    5.02/(  12 -  5) =   0.72 | F=-5.52(7747)*10^-2; dmf=3.297(8604); Ff=-6.07(68728)*10^5; dmi=2.11(162)*10^-2; Fi=1.228(761)
 |     c2__24,5_24,11 |             0 |    0.04/(   5 -  5) =    inf | F=5.23(423)*10^-2; dmf=1.182(2702); Ff=7.65(44038)*10^3; dmi=2.24(40)*10^-2; Fi=1.111(46)
